,department,number,title,time,location,instructor,card_core
471,MATH,206,Calculus II,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 128,Ryan Gill,
472,MATH,301,Calculus III,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 110,David Swanson,
473,ME,206,Mechanics II: Dynamics,MoWeFr 8:00AM - 9:15AM,Belknap / Sackett 100,Hari Charan Ghimire,
474,ME,251,Thermodynamics I,MoWeFr 9:30AM - 10:45AM,Belknap / Sackett 103,Hari Charan Ghimire,
475,ME,288,Mechanical Engineering Cooperative Education Seminar,Tu 1:00PM - 2:15PM,Belknap / Duthie Center Engineering 117,"Kelly Atwood Holt, Brittney Forrest, Thomas Brammer, Alexander Williams",
476,ME,289,Mechanical Engineering Cooperative Education I, ,INTERN,"Kelly Atwood Holt, Brittney Forrest, Thomas Brammer, Alexander Williams",
477,ME,310,Thermodynamics II,TuTh 8:00AM - 9:50AM,Belknap / J B Speed 100,Nicholas Schuppert,
478,ME,323,Mechanics of Materials,MoWe 1:00PM - 2:50PM,Belknap / Sackett 100,Roger Bradshaw,
479,ME,324,Mechanics of Materials Laboratory,Tu 1:00PM - 2:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
480,ME,324,Mechanics of Materials Laboratory,Th 1:00PM - 2:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
481,ME,324,Mechanics of Materials Laboratory,Fr 11:00AM - 12:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
482,ME,324,Mechanics of Materials Laboratory,Fr 1:00PM - 2:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
483,ME,324,Mechanics of Materials Laboratory,We 11:00AM - 12:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
484,ME,389,Mechanical Engineering Cooperative Education II, ,INTERN,"Kelly Atwood Holt, Brittney Forrest, Thomas Brammer, Alexander Williams",
485,ME,435,System Dynamics,TuTh 10:00AM - 11:50AM,Belknap / Sackett 100,Arinan Dourado,
486,ME,489,Mechanical Engineering Cooperative Education III, ,INTERN,"Kelly Atwood Holt, Brittney Forrest, Thomas Brammer, Alexander Williams",
487,ME,526,Vehicle Dynamics and Handling,TBA,Belknap / TBA,To be Announced,
488,ME,526,Vehicle Dynamics and Handling, ,ONLINE,Gary Osborne,
489,ME,547,Design Methods, ,ONLINE,Rodney Ewing,
490,ME,549,Geometric Dimensioning and Tolerancing,TuTh 12:00PM - 1:50PM,Belknap / Sackett 100,Andrew Pierce,
491,MBEC,100,METRO-BELLARMINE UNIVERSITY, ,Oth Loc,To be Announced,
492,MILS,410,Independent Study in Military Science and Leadership, ,ONLINE,- TBA,
493,MILS,410,Independent Study in Military Science and Leadership, ,ONLINE,- TBA,
494,MILS,410,Independent Study in Military Science and Leadership, ,ONLINE,- TBA,
495,MUH,204,Introduction to Music History, ,ONLINE,Jennifer Potochnic,AH
496,MUH,205,Music in World Cultures,TBA,ONLINE / TBA,To be Announced,SBD2
