,department,number,title,time,location,instructor,card_core
0,ACCT,201,Principles of Financial Accounting, ,ONLINE,Matthew Cushing,
1,ACCT,201,Principles of Financial Accounting, ,ONLINE,Matthew Cushing,
2,ACCT,202,Principles of Managerial Accounting, ,ONLINE,Peter Aghimien,
3,ACCT,202,Principles of Managerial Accounting, ,ONLINE,Peter Aghimien,
4,ACCT,301,Intermediate Accounting I, ,ONLINE,Derek Bell,
5,ACCT,301,Intermediate Accounting I, ,ONLINE,Derek Bell,
6,ACCT,302,Intermediate Accounting II, ,ONLINE,Peter Aghimien,
7,ACCT,302,Intermediate Accounting II, ,ONLINE,Peter Aghimien,
8,ACCT,310,Introduction to Accounting Information Systems, ,ONLINE,Marcus Burke,
9,ACCT,310,Introduction to Accounting Information Systems, ,ONLINE,Marcus Burke,
10,ACCT,315,Taxation for Business Entities, ,ONLINE,Lisa Blum,
11,ACCT,315,Taxation for Business Entities, ,ONLINE,Lisa Blum,
12,ACCT,396,Zero-Credit Internship-Accounting, ,Belknap,Lisa Blum,
13,ACCT,397,Co-op in Accounting I, ,Belknap,Lisa Blum,
14,ACCT,398,Co-op in Accounting II, ,Belknap,Lisa Blum,
15,ACCT,399,Co-op in Accounting III, ,Belknap,Lisa Blum,
16,ACCT,411,Capstone Seminar in Accounting, ,ONLINE,Marcus Burke,CUE
17,ACCT,411,Capstone Seminar in Accounting, ,ONLINE,Marcus Burke,CUE
18,ACCT,430,Auditing Theory and Practice, ,ONLINE,Dereck Barr-Pulliam,
19,ACCT,430,Auditing Theory and Practice, ,ONLINE,Dereck Barr-Pulliam,
20,ASL,101,American Sign Language 1,TBA,Belknap / TBA,To be Announced,
21,ASL,102,American Sign Language 2,MoTuWeTh 10:00AM - 12:00PM,Belknap / Humanities 211,Sheila Owolabi,
22,ASL,201,American Sign Language 3,TBA,Belknap / TBA,To be Announced,
23,ASL,202,American Sign Language 4,MoTuWeTh 1:00PM - 3:00PM,Belknap / Humanities 211,Sheila Owolabi,
24,ASNB,491,Undergraduate Neuroscience Research, ,HSC,Charles Hubscher,
25,ASNB,492,Undergraduate Neuroscience Research, ,HSC,Charles Hubscher,CUE
26,ASNB,495,Honors Neuroscience Research, ,HSC,Charles Hubscher,
27,ASNB,496,Honors Neuroscience Thesis, ,HSC,Charles Hubscher,"CUE, WR"
28,ANTH,201,Introduction to Cultural Anthropology, ,ONLINE,Jianhua Zhao,SBD2
29,ANTH,202,Biological Anthropology, ,ONLINE,Carey Garland,S
30,ANTH,206,Principles of Archaeology, ,ONLINE,David Hoefer,B
31,ANTH,310,"Race, Culture, Identity", ,ONLINE,Yvonne Jones,
32,ANTH,323,Cultures of Africa, ,ONLINE,Amanuel Beyin,SBD2
33,ANTH,374,Forensic Anthropology Field School,MoTuWeThFr 9:00AM - 12:00PM,Belknap / Belknap Academic Building 417,Kathryn Marklein,
34,ANTH,377,Field Methods in Archaeology, ,Off Campus,Aaron Comstock,
35,ANTH,401,Cooperative Internship in Anthropology, ,INTERN,Jianhua Zhao,
36,ANTH,451,Independent Study, ,Belknap,Jonathan Haws,
37,ART,107,Foundation Drawing,TBA,Belknap / TBA,To be Announced,
38,ART,107,Foundation Drawing,TBA,Belknap / TBA,To be Announced,
39,ARTH,270,Renaissance Through Modern Art, ,ONLINE,Cody Gault,AH
40,BE,288,Bioengineering Co-op Education Seminar,Tu 1:00PM - 2:15PM,Belknap / Duthie Center Engineering 117,"Kelly Atwood Holt, Angela Coyle, Thomas Brammer, Alexander Williams",
41,BE,289,Bioengineering Co-op Education I, ,INTERN,"Kelly Atwood Holt, Angela Coyle, Thomas Brammer, Alexander Williams",
42,BE,310,Biotransport Phenomena, ,ONLINE,"Michael Voor, Nicholas Allen",
43,BE,322,Circuits and Devices for Bioengineers,TuTh 10:00AM - 11:50AM,Belknap / Lutz Hall 306,Tommy Roussel,
44,BE,322,Circuits and Devices for Bioengineers, ,ONLINE,Tommy Roussel,
45,BE,340,Computational Methodologies in Bioengineering,TBA,Belknap / TBA,To be Announced,
46,BE,340,Computational Methodologies in Bioengineering, ,ONLINE,Ayman El-Baz,
47,BE,354,Anatomy and Physiology, ,ONLINE,Patricia Soucy,
48,BE,359,Cell and Molecular Biology for Bioengineers,TBA,ONLINE / TBA,To be Announced,
49,BE,360,Biomechanics Principles, ,ONLINE,"Michael Voor, Asem Ali",
50,BE,389,Bioengineering Co-op Education II, ,INTERN,"Kelly Atwood Holt, Angela Coyle, Thomas Brammer, Alexander Williams",
51,BE,420,Biosystems & Signals,TBA,ONLINE / TBA,To be Announced,
52,BE,430,Biosystems Controls, ,ONLINE,Guruprasad Giridharan,
53,BE,450,Biomaterials & Biocompatibility,TuTh 1:00PM - 2:50PM,Belknap / Lutz Hall 306,Joseph Chen,
54,BE,450,Biomaterials & Biocompatibility, ,ONLINE,Joseph Chen,
55,BE,489,Bioengineering Co-op Education III, ,INTERN,"Kelly Atwood Holt, Angela Coyle, Thomas Brammer, Alexander Williams",
56,BE,522,Biomedical Acoustics, ,ONLINE,Jonathan Kopechek,
57,BE,542,Medical Image Computing, ,ONLINE,"Ayman El-Baz, Ahmed Eid",
58,BE,543,Computer Tools for Medical Image Analysis,TuTh 8:00AM - 9:50AM,Belknap / Lutz Hall 306,Ayman El-Baz,
59,BE,544,Artificial Intelligence Techniques in Digital Pathology,TBA,Belknap / TBA,To be Announced,
60,BE,552,Introduction to Tissue Engineering,TBA,ONLINE / TBA,To be Announced,
61,BE,553,Nanoscale Bioengineering: Application and Methodology of Nanobiomaterials in Bioengineering,TBA,ONLINE / TBA,To be Announced,
62,BE,581,Advanced Computer-Aided Design and Manufacturing for Bioengineers, ,ONLINE,"Nicholas Allen, Tommy Roussel",
63,BIOL,102,Biology: Current Issues and Applications, ,ONLINE,Kat Ray King,S
64,BIOL,240,Unity of Life,MoTuWeTh 9:40AM - 11:30AM,Belknap / Belknap Academic Building 232,Kat Ray King,S
65,BIOL,241,Experimental Biology I: Molecules and Cells,MoTuWe 1:00PM - 3:00PM,Belknap / Belknap Academic Building 329,Jeffery Masters,SL
66,BIOL,242,Diversity of Life,MoTuWeTh 9:40AM - 11:30AM,Belknap / Belknap Academic Building 227,Jeffery Masters,S
67,BIOL,243,Experimental Biology II: Organismal Biology,MoWeFr 1:00PM - 3:00PM,Belknap / Belknap Academic Building 329,Jeffery Masters,SL
68,BIOL,257,Introduction to Microbiology, ,ONLINE,Zeinab Torky,S
69,BIOL,258,Introduction to Microbiology Laboratory,MoTuWeTh 12:00PM - 1:30PM,Belknap / Life Sci 217,Zeinab Torky,SL
70,BIOL,260,Human Anatomy & Physiology I, ,ONLINE,Samiyyah Sledge,
71,BIOL,261,Human Anatomy & Physiology II, ,ONLINE,Samiyyah Sledge,
72,BIOL,264,Human Anatomy and Physiology I Laboratory,MoWeFr 9:00AM - 12:00PM,Belknap / Belknap Academic Building 308,Sanaya Stocke,
73,BIOL,264,Human Anatomy and Physiology I Laboratory,MoWeFr 1:00PM - 4:00PM,Belknap / Belknap Academic Building 308,Sanaya Stocke,
74,BIOL,265,Human Anatomy and Physiology II Laboratory,MoWeFr 9:00AM - 12:00PM,Belknap / Life Sci 212,Sanaya Stocke,
75,BIOL,404,Undergraduate Research, ,Belknap,Linda Fuselier,
76,BIOL,405,Undergraduate Research, ,Belknap,Linda Fuselier,CUE
77,BIOL,406,Undergraduate Research (WR), ,Belknap,Linda Fuselier,WR;CUE
78,BIOL,504,Independent Study, ,Belknap,Linda Fuselier,WR
79,BIOL,540,Metabolic Biochemistry,MoTuWeTh 9:40AM - 11:30AM,Belknap / Belknap Academic Building 237,Paul Himes,
80,BUS,201,Career Development, ,ONLINE,Greg Priester,
81,BUS,201,Career Development, ,ONLINE,Greg Priester,
82,BUS,201,Career Development, ,ONLINE,Greg Priester,
83,BUS,201,Career Development, ,ONLINE,Greg Priester,
84,BUS,301,Business Communication, ,ONLINE,Brandon Hardy,
85,BUS,301,Business Communication, ,ONLINE,Cory Williams,
86,BUS,301,Business Communication, ,ONLINE,Brandon Hardy,
87,BUS,301,Business Communication, ,ONLINE,Cory Williams,
88,BUS,301,Business Communication, ,ONLINE,Cory Williams,
89,BUS,397,Co-op in Business I, ,INTERN,Warren McIntosh,
90,BUS,398,Co-op in Business II, ,Belknap,Warren McIntosh,
91,BUS,399,Co-op in Business, ,INTERN,Warren McIntosh,
92,BSTA,201,Business Statistics, ,ONLINE,"Raymond Chastain, Andrew Wright",
93,BSTA,201,Business Statistics, ,ONLINE,"Raymond Chastain, Andrew Wright",
94,CHE,205,Introduction to Chemical Engineering,MoWeFr 2:30PM - 3:45PM,Belknap / Belknap Academic Building 128,Gerold Willing,
95,CHE,230,Computer Applications in Chemical Engineering,TuTh 11:00AM - 12:50PM,Belknap / Belknap Academic Building 128,Vance Jaeger,
96,CHE,253,Materials Science,MoWeFr 9:30AM - 10:45AM,Belknap / Belknap Academic Building 128,"Gautam Gupta, - TBA",
97,CHE,288,Chemical Engineering Cooperative Education Seminar,Tu 1:00PM - 2:15PM,Belknap / Duthie Center Engineering 117,"Kelly Atwood Holt, Angela Coyle, Thomas Brammer, Alexander Williams",
98,CHE,289,Chemical Engineering Cooperative Education I, ,INTERN,"Kelly Atwood Holt, Angela Coyle, Thomas Brammer, Alexander Williams",
99,CHE,312,Chemical Engineering Thermodynamics II,MoWeFr 9:30AM - 10:45AM,Belknap / Ernst Hall 310,Xiao-An Fu,
100,CHE,331,Principles of Fluid Dynamics,MoWeFr 8:00AM - 9:15AM,Belknap / Ernst Hall 310,Mahendra Sunkara,
101,CHE,389,Chemical Engineering Cooperative Education II, ,INTERN,"Kelly Atwood Holt, Angela Coyle, Thomas Brammer, Alexander Williams",
102,CHE,401,"Safety, Health and Environment",MoWeFr 11:00AM - 12:15PM,Belknap / Ernst Hall 310,James Watters,
103,CHE,489,Chemical Engineering Cooperative Education III, ,INTERN,"Kelly Atwood Holt, Angela Coyle, Thomas Brammer, Alexander Williams",
104,CHEM,101,Chemistry and Contemporary Society, ,ONLINE,Danielle Franco,S
105,CHEM,105,Chemistry for Health Professionals, ,ONLINE,Rachel Neal,S
106,CHEM,201,General Chemistry I,MoTuWeThFr 9:00AM - 10:30AM,Belknap / Belknap Academic Building 408,Meenakshi Bansal,S
107,CHEM,201,General Chemistry I, ,ONLINE / Online Online,Danielle Franco Danielle Franco,S
108,CHEM,202,General Chemistry II,MoTuWeThFr 9:00AM - 10:30AM,Belknap / Belknap Academic Building 408,Meenakshi Bansal,S
109,CHEM,202,General Chemistry II, ,ONLINE,Danielle Franco,S
110,CHEM,202,General Chemistry II, ,ONLINE,Danielle Franco,S
111,CHEM,207,Introduction to Chemical Analysis I,MoWeFr 11:00AM - 11:50AM,Belknap / Belknap Academic Building 234,Meenakshi Bansal,SL
112,CHEM,207,Introduction to Chemical Analysis I,MoWeFr 1:00PM - 3:50PM,Belknap / Belknap Academic Building 311,Meenakshi Bansal,SL
113,CHEM,207,Introduction to Chemical Analysis I,MoWeFr 1:00PM - 3:50PM,Belknap / Belknap Academic Building 313,Meenakshi Bansal,SL
114,CHEM,208,Introduction to Chemical Analysis II,MoWeFr 11:00AM - 11:50AM,Belknap / Belknap Academic Building 234,Meenakshi Bansal,SL
115,CHEM,208,Introduction to Chemical Analysis II,MoWeFr 1:00PM - 3:50PM,Belknap / Belknap Academic Building 311,Meenakshi Bansal,SL
116,CHEM,208,Introduction to Chemical Analysis II,MoWeFr 1:00PM - 3:50PM,Belknap / Belknap Academic Building 313,Meenakshi Bansal,SL
117,CHEM,209,Introduction to Chemical Analysis III,MoTuTh 1:00PM - 1:50PM,Belknap / Belknap Academic Building 227,Nidhi Shah,
118,CHEM,209,Introduction to Chemical Analysis III,TuWeFr 10:00AM - 12:50PM,Belknap / Belknap Academic Building 311,Nidhi Shah,
119,CHEM,209,Introduction to Chemical Analysis III,TuWeFr 2:00PM - 4:50PM,Belknap / Belknap Academic Building 311,Nidhi Shah,
120,CHEM,209,Introduction to Chemical Analysis III,TuWeFr 2:00PM - 4:50PM,Belknap / Belknap Academic Building 313,Nidhi Shah,
121,CHEM,341,Organic Chemistry I,MoTuWeThFr 10:30AM - 11:50AM,Belknap / Humanities 100,Kagna Sampson,
122,CHEM,341,Organic Chemistry I, ,ONLINE,Kagna Sampson,
123,CHEM,342,Organic Chemistry II,MoTuWeThFr 10:30AM - 11:50AM,Belknap / Humanities 100,Kagna Sampson,
124,CHEM,342,Organic Chemistry II, ,ONLINE,Kagna Sampson,
125,CHEM,343,Organic Chemistry Laboratory I,MoTuTh 12:00PM - 3:55PM,Belknap / Belknap Academic Building 317,Casandra Koevoets,
126,CHEM,343,Organic Chemistry Laboratory I,MoTuTh 12:00PM - 3:55PM,Belknap / Belknap Academic Building 320,Casandra Koevoets,
127,CHEM,344,Organic Chemistry Laboratory II,MoTuTh 12:00PM - 3:55PM,Belknap / Belknap Academic Building 320,Casandra Koevoets,
128,CHEM,344,Organic Chemistry Laboratory II,MoTuTh 12:00PM - 3:55PM,Belknap / Belknap Academic Building 317,Casandra Koevoets,
129,CHEM,391,Undergraduate Research, ,Belknap,Robert Buchanan,CUE
130,CHEM,420,Cooperative Internship in Chemistry, ,Belknap,Francis Zamborini,"WR, CUE"
131,CHEM,491,Undergraduate Research, ,Belknap,Robert Buchanan,CUE
132,CEE,205,Mechanics I: Statics,MoWeFr 11:00AM - 12:15PM,Belknap / Belknap Academic Building 128,Omid Ghasemi Fare,
133,CEE,205,Mechanics I: Statics,MoWeFr 9:30AM - 10:45AM,Belknap / Belknap Academic Building 129,Tharshikka Vickneswaran,
134,CEE,288,Civil and Environmental Engineering Cooperative Education Seminar,Tu 1:00PM - 2:15PM,Belknap / Duthie Center Engineering 117,"Kelly Atwood Holt, Alexander Williams",
135,CEE,289,Civil and Environmental Engineering Cooperative Education I, ,INTERN,"Kelly Atwood Holt, Alexander Williams",
136,CEE,309,Introduction to Environmental Engineering,MoWe 1:00PM - 2:50PM,Belknap / W S Speed 108,Tharshikka Vickneswaran,
137,CEE,322,Structural Analysis,MoWe 3:00PM - 4:50PM,Belknap / W S Speed 106,J. P. Mohsen,
138,CEE,389,Civil and Environmental Engineering Cooperative Education II, ,INTERN,"Kelly Atwood Holt, Alexander Williams",
139,CEE,489,Civil Engineering Cooperative Education III, ,INTERN,"Kelly Atwood Holt, Alexander Williams",
140,CLAW,301,Legal Environment of Business, ,ONLINE,Lisa Blum,
141,CLAW,301,Legal Environment of Business, ,ONLINE,Lisa Blum,
142,COMM,111,Introduction to Public Speaking,MoTuWeThFr 9:00AM - 12:00PM,Belknap / Strickler 306,Richard Slawsky,OC
143,COMM,111,Introduction to Public Speaking,MoTuWeThFr 1:00PM - 2:30PM,Belknap / Strickler 209,Christine Steineck,OC
144,COMM,111,Introduction to Public Speaking, ,ONLINE,Sydney Dotson,OC
145,COMM,111,Introduction to Public Speaking, ,ONLINE,Bunny Hayes,OC
146,COMM,111,Introduction to Public Speaking, ,ONLINE,Rebecca Wells-Gonzalez,OC
147,COMM,111,Introduction to Public Speaking, ,ONLINE,Karen Battoe,OC
148,COMM,111,Introduction to Public Speaking, ,ONLINE,Heidi Prizmich,OC
149,COMM,111,Introduction to Public Speaking, ,ONLINE,Sarah Miller,OC
150,COMM,112,Business and Professional Speaking,TBA,Belknap / TBA,To be Announced,OC
151,COMM,112,Business and Professional Speaking,MoTuWeThFr 11:20AM - 12:50PM,Belknap / Strickler 306,Elyssa Smith,OC
152,COMM,112,Business and Professional Speaking, ,ONLINE,Michelle Eigenheer,OC
153,COMM,112,Business and Professional Speaking, ,ONLINE,Laurie Taylor,OC
154,COMM,112,Business and Professional Speaking,TBA,ONLINE / TBA,To be Announced,OC
155,COMM,140,Speaking Virtually, ,ONLINE,Elizabeth Kimbell,OC
156,COMM,201,Introduction to Communication Studies, ,ONLINE,Mary Ashlock,SB
157,COMM,215,"Communication, Identity, and Power", ,ONLINE,Calvin Coker,AHP1
158,COMM,225,Rhetoric from Greeks to Tweets, ,ONLINE,Nicholas Paliewicz,SBH
159,COMM,238,Introduction to Film Production,TBA,Belknap / TBA,To be Announced,
160,COMM,255,Communication and Statistics, ,ONLINE,Madeline Tomlinson,QR
161,COMM,301,Special Topics in Communication,TBA,ONLINE / TBA,To be Announced,
162,COMM,303,Introduction to Communication Technologies, ,ONLINE,William Brantley,
163,COMM,304,Argument In Everyday Life,TBA,Belknap / TBA,To be Announced,
164,COMM,304,Argument In Everyday Life, ,ONLINE,Nicholas Paliewicz,
165,COMM,305,Introduction to Mass Communication,TBA,Belknap / TBA,To be Announced,
166,COMM,305,Introduction to Mass Communication,TBA,ONLINE / TBA,To be Announced,
167,COMM,310,Business Communication, ,ONLINE,Gina Firenzi,
168,COMM,315,Introduction to Interpersonal Communication, ,ONLINE,Kathy Werking,
169,COMM,316,Research Methods,TBA,Belknap / TBA,To be Announced,
170,COMM,316,Research Methods, ,ONLINE,Kathy Werking,
171,COMM,317,Communication Internship, ,Belknap,Lindsay Della,
172,COMM,317,Communication Internship, ,ONLINE,Lindsay Della,
173,COMM,320,Newswriting, ,ONLINE,Ralph Merkel,WR
174,COMM,340,Storytelling with Data Visualization, ,ONLINE,Yi Wang,
175,COMM,342,Introduction to Strategic Communication, ,ONLINE,Elizabeth Kimbell,
176,COMM,360,Web Site Development, ,ONLINE,William Brantley,
177,COMM,380,Practicum, ,Belknap,- TBA,
178,COMM,401,Independent Study in Communication, ,Belknap,- TBA,
179,COMM,402,Independent Research in Communication, ,Belknap,- TBA,CUE
180,COMM,417,Senior Communication Internship, ,Belknap,Lindsay Della,CUE
181,COMM,417,Senior Communication Internship, ,ONLINE,Lindsay Della,CUE
182,COMM,463,Special Topics in Communication Studies,TuTh 9:30AM - 10:45AM,ONLINE,Lindsay Della,WR
183,COMM,466,Special Topics in Communication Studies,TuTh 9:30AM - 10:45AM,ONLINE,Lindsay Della,"CUE, WR"
184,COMM,480,Senior Practicum, ,Belknap,- TBA,
185,COMM,481,Senior Practicum, ,Belknap,William Brantley,CUE
186,CIS,150,Fundamentals of Information Systems, ,ONLINE,James Chrisman,
187,CIS,150,Fundamentals of Information Systems, ,ONLINE,James Chrisman,
188,CIS,205,Information Systems in Organizations, ,ONLINE,Melissa Campbell,
189,CIS,205,Information Systems in Organizations, ,ONLINE,Anthony Manni,
190,CIS,205,Information Systems in Organizations, ,ONLINE,Melissa Campbell,
191,CIS,205,Information Systems in Organizations, ,ONLINE,Anthony Manni,
192,CIS,305,Data Analysis for Decision-Making, ,ONLINE,James Chrisman,
193,CIS,305,Data Analysis for Decision-Making, ,ONLINE,Warren McIntosh,
194,CIS,305,Data Analysis for Decision-Making, ,ONLINE,James Chrisman,
195,CIS,305,Data Analysis for Decision-Making, ,ONLINE,Warren McIntosh,
196,CIS,397,Co-op in Computer Information Systems I, ,Belknap,Gregory Reinhardt,
197,CIS,398,Co-op in Computer Information Systems II, ,Belknap,Gregory Reinhardt,
198,CIS,399,Co-op in Computer Information Systems III, ,Belknap,Gregory Reinhardt,
199,CSE,120,Introduction to Programming with Python,MoWeFr 8:00AM - 9:15AM,Belknap / Sackett 103,Sai Nethra Betgeri,
200,CSE,120,Introduction to Programming with Python, ,ONLINE,Sai Nethra Betgeri,
201,CSE,130,Introduction to C and C++ Programming Languages,TuTh 11:00AM - 12:50PM,Belknap / Ernst Hall 310,Soodeh Atefi,
202,CSE,130,Introduction to C and C++ Programming Languages, ,ONLINE,Soodeh Atefi,
203,CSE,220,Object Oriented Program Design with Java,TuTh 2:30PM - 4:20PM,Belknap / Duthie Center Engineering 117,Soodeh Atefi,
204,CSE,220,Object Oriented Program Design with Java, ,ONLINE,Soodeh Atefi,
205,CSE,288,Computer Science and Engineering Cooperative Education Seminar,Tu 1:00PM - 2:15PM,Belknap / Duthie Center Engineering 117,"Kelly Atwood Holt, Shaun McDonough, Thomas Brammer, Alexander Williams",
206,CSE,289,Computer Science and Engineering Cooperative Education I, ,INTERN,"Shaun McDonough, Kelly Atwood Holt, Thomas Brammer, Alexander Williams",
207,CSE,299,Internship I, ,INTERN,"Kelly Atwood Holt, Alexander Williams, Thomas Brammer",(BACS)
208,CSE,310,Discrete Structures,MoWeFr 8:00AM - 9:15AM,Belknap / J B Speed 203,Nathan Russell,
209,CSE,310,Discrete Structures, ,ONLINE,Nathan Russell,
210,CSE,350,Introduction to Software Engineering,MoWeFr 9:30AM - 10:45AM,Belknap / Sackett 100,Sai Nethra Betgeri,
211,CSE,350,Introduction to Software Engineering, ,ONLINE,Sai Nethra Betgeri,
212,CSE,389,Computer Science and Engineering Cooperative Education II, ,INTERN,"Shaun McDonough, Kelly Atwood Holt, Thomas Brammer, Alexander Williams",
213,CSE,399,Internship II, ,INTERN,"Alexander Williams, Kelly Atwood Holt, Thomas Brammer",(BACS)
214,CSE,412,Introduction to Embedded Systems,TuTh 10:00AM - 11:50AM,Belknap / Duthie Center Engineering 116,Adrian Lauf,
215,CSE,489,Computer Science and Engineering Cooperative Education III, ,INTERN,"Shaun McDonough, Kelly Atwood Holt, Thomas Brammer, Alexander Williams",
216,CSE,535,Database Systems, ,ONLINE,Jason Turner,
217,CSE,538,Graph Database and Graph Analytics,TuTh 4:00PM - 5:50PM,Belknap / Sackett 103,Dar-Jen Chang,
218,CSE,538,Graph Database and Graph Analytics, ,ONLINE,Dar-Jen Chang,
219,CSE,550,Software Engineering,MoWeFr 9:30AM - 10:45AM,Belknap / Sackett 100,Sai Nethra Betgeri,
220,CSE,550,Software Engineering, ,ONLINE,Sai Nethra Betgeri,
221,CSE,564,Introduction to Cryptography,TuTh 10:00AM - 11:50AM,Belknap / Sackett 208,Nathan Russell,
222,CSE,564,Introduction to Cryptography, ,ONLINE,Nathan Russell,
223,CSE,566,Information Security,TuTh 12:00PM - 1:50PM,Belknap / Duthie Center Engineering 116,Adrian Lauf,
224,CSE,566,Information Security, ,ONLINE,Adrian Lauf,
225,CSE,590,Special Topics in Computer Science and Engineering,TuTh 2:00PM - 3:50PM,Belknap / Duthie Center Engineering 116,Zeyan Liu,
226,CSE,590,Special Topics in Computer Science and Engineering, ,ONLINE,Daniel Sierrasosa,
227,CSE,590,Special Topics in Computer Science and Engineering, ,ONLINE,Zeyan Liu,
228,CJ,200,Introduction to Criminal Justice, ,ONLINE,Katie Hughes-Taylor,SB
229,CJ,201,Introduction to Law Enforcement, ,ONLINE,Bradley Campbell,SB
230,CJ,202,Introduction to Corrections, ,ONLINE,Heather Ouellette,SB
231,CJ,305,Theories of Crime and Behavior, ,ONLINE,Alex Widdowson,
232,CJ,326,Quantitative Analysis in Criminal Justice, ,ONLINE,Jennifer Cox,QR
233,CJ,326,Quantitative Analysis in Criminal Justice, ,ONLINE,Viviana Andreescu,QR
234,CJ,426,Violence in the United States, ,ONLINE,Charles Baker,
